Name,DINs__c
Glucocorticoid,"21695,23833,93629,156876,210188,232092,232378,252417,271373,312770,508586,550957,598194,607517,610623,868426,868434,868442,2229293,2052431,2455889,21679,30643,30651,30678,30740,30759,30767,30961,30988,36129,36137,210692,260428,278912,1934325,1934333,1934341,2063697,2063700,2063719,2063727,2230210,2230211,2231893,2231894,2231895,2232748,2232750,2241229,2245400,2245406,2245407,2245408,2367947,2367955,2367963,2367971"
Hepatitis B,"2430576,2239194,2453797,2418312,2282232,2464241,2451980,2460173,2452634,2403889,2420333,2430584,2396955,2393239,2239193,2247128,2247823,2282224,2192691,2448777"
Hepatitis C,"2239730,2451131,2444755,2444747,2439212,2447711,2456370,2467550,2467542,2436027,2246026,2246027,2246028,2246029,2246030,2253410,2253429,2254573,2254581,2254603,2254638,2254646,2370816,2371448,2371456,2371464,2371472,2371553,2418355,2416441,2432226,2425904,2425890,2436426,2436418,2436396,2241159"
IBD,"2455110,2455102,579335,2350092,2350106,2350114,2424770,2455323,2455331,2331675,2438070,2274728,2242903,2436841,2462850,2462877,2462869,2258595,2419475,2245913,2282097,2402475,2434334,2434318,2244016,2241927,2324776,2413183,2413175,2324784,2417472,2320681,2320673,2423898,1934325,1934333,1934341,30759,30767,260428,30740,36129,30961,30988,2245400,2245406,2245408,2245407,2231894,2241229,2231893,2231895,2232748,2232750,21679,278912,210692,2063700,2367971,36137,30678,2367955,2230211,2230210,2367963,2063727,2063719,2063697,2367947,30651,30643,2267934,2236799,2246827,2246826,2246825,2246824,2244798,685925,685933,874132,2171767,2237485,2237487,2237486,2242148,2251213,2251256,2251248,2251221,2242919,445126,637785,637777,637769,2004690,2064472,544442,2004682,2064499,158526,893692,1999567,2004658,2064480,24856,2112809,2112760,2112787,2242146,2112795,2112779,2112752,890944,881643,881651,709034,784494,784508,2248758,2248756,2387131,2248757,613568,263869,2204347,2204355,2204636,2204371,2379627,2379635,2379643,2331853,2331861,2331888,2266970,2266989,2266962,2171929,2236819,2161737,2161745,2161753,2427028,2426978,2427001,2480786,2470608,2470373,610623,598194,550957,312770,2455889,252417,210188,2229293,2052431,868426,868434,868442,23833,607517,232092,93629,156876,508586,232378,21695,271373,2112736,2320053,2320029,2320045,2320037,2304767,2454831,2454777,2454769,2454866,2454874,2454858,2454750,2226839,2092832,2297809,2013223,1927094,2248206,545066,721018,649074,870420,420409,2297558,2474018,2474026,2423588,2423561,2423553,2317443,2317435,2317427,2231491,2245648,2245649,2245647,2416476,2416484,228591,228605,2125226,2156091,21555,2348063,2358573,2248843,2333228,2249626,2249650,2249642,2249634,2459655,2265257,2153556,2153521,2099683,2399466,2153564,2128276,2128233,2113058,2128241,2128268,894877,2153548,2099675,1940384,2251302,2251329,2251337,2251310,2248436,2248438,2248437,2248439,2253933,2416433,2170698,783137,584339,598461,598488,2249960,2249979,2249987,2445344,2317796,2317818,2317826,4723,2372606,2372592,2372614,2238931,2238932,2303736,2303744,2303728,2267950,2267942,875848,2251264,2251299,2251280,2251272,2182718,2182653,2182688,2182696,2182726,2182661,1926861,1926853,1926896,25615,1926888,25887,489891,24929,524557,1926829,1926837,1926845,338338,250724,439134,2244405,2385074,2385082,2385090,2245646,2252961,2252988,2252996,2253003,2244895,4596,337854,2378671,2378698,2378701,2380366,2380358,2380374,2419173,2380587,2380595,2380609,2379686,2379694,2379708,2491370,2237291,2415275,1914030,2028751,2028778,887080,887099,2170671,2283697,2182939,2122170,1907204,614335,614327,614343,2474891,2474735,2327236,2182947,2398427,2182955,2182971,2182777,2422174,2422182,2422166,2422204,2422190,2417626,2377624,2084481,321400,410195,321397,519286,1911457,2099705,2161168,2491311,2491346,2491354,2491362,2491338,14915,632619,2182750,2170663,2170655,2351463,2089920,2378183,2378191,2378205,2247340,2247339,2247341,2476592,2476606,2476584,2238895,410640,2242907,2263130,2229521,2229523,2229522,2229520,2182963,2248562,2341700,2341719,2341727,2341735,1997580,2267217,634557,752630,2381931,2381907,2381923,2470284,2360918,2235352,2343002,2341115,2231575,2243371,2444887,1945270,2200864,2155974,2155958,2155966,2155931,2237513,2240035,2155982,2237334,1947710,2237514,2100533,817163,817171,817198,2251787,2247916,2252716,2386100,2386127,2353334,2386135,2353326,2386119,2353318,2251744,2204398,2335352,2400766,2239096,2239100,2400847,2335360,2239098,2335379,2400855,2312123,2377535,2274140,2301296,2256789,2301903,2289946,2267462,2304759,2304546,2311895,2332140,2332132,2332159,2247200,2247201,2247202,2247203,2251752,2251760,2251779,2063808,2006413"
Insulin Pumps,"47450001,47450002,47450003,47450004,47450005,47450006,47450007,47450008,45230008,45230011,45230014,98995007,98995005,46340001,46340002,46340003,46340004,46340007,46340008,46340009,46340010,46340012,46340013,46340014,46340015,46340016,46340017,46340018,46340019,46340020,46340022,46340023,46340026,46340027,46340029,46340030,46340031,46340032,46340033,46340025,46340028,45230019,45230016,47450009,46340034,46340035,46340036,46340037"
IPF,"2464489,2464500,2443074,2443066,2393751"
Natalizumab (MS),"2416328,2237770,2269201,2169649,2456915,2245619,2337819,2365480,2460661,2418320,2467224,2444399,2444402,2237317,2237319,2237320,2281708,2318253,2318261,2241927,2498316,2495724,2404508,2420201,2478382,2478390,2286386"
OAT,"2465221,2465248,2465256,2465264,2424851,2408090,2453908,2424878,2408104,2453916,2295709,2468085,2468093,2295695,2242962,2242963,2242964,22123349,22123346,22123347,22123348,2242163,2184435,2184443,2184451,66129201,66129202,66129203,2146126,2469413,2244797,2468468,2145926,2145863,22123339,22123338,66124280,22123340,2019930,2177749,2019949,2019957,2019965,2177757,67000013,67000014,67000015,67000016,66999997,66999998,66999999,67000000,67000001,67000002,67000003,67000004,67000005,67000006,67000007,67000008,2481979,67000017,67000018,67000019,67000020,999792,999793,66999990,66999991,66999992,66999993,66124066,66124067,66124068,66124069,66124070,66124071,66124072,1200,125083,125105,125121,622133,627100,705438,786535,786543,885401,885428,885436,885444,1916270,1916289,1916386,1916394,1979914,1989111,2085895,2125323,2125331,2125366,2125382,2125390,2145901,2145928,2145936,2146118,2192101,2192144,2217333,2217341,2225220,2225239,2225247,2225255,2243159,2243160,2243161,2243162,2243562,2245703,2245704,2245705,2249928,2249936"
Obeticholic Acid,"2463148,1945254,2281309,2472392,2472406,2318091,2318105,2463121,2427362,2427370,2281325,2281317,2262576,2273497,2273500,2238984,2245894,2426900,2426919,2281295"
Plaque Psoriasis,"2398427,2495724,2331675,2465574,2487454,2419475,2469758,2455110,2455102,2438070,2243144,2175991,2176009,2175983,2436841,2470373,14915,1907182,1907204,1911457,2099705,2150662,2150670,2150689,2150697,2170655,2170663,2170671,2170698,2171767,2182750,2182777,2182939,2182947,2182955,2182963,2182971,2237671,2242821,2242903,2244016,2244324,2244798,2247073,2247074,2258595,2274728,2304767,2320029,2320037,2320045,2320053,2320673,321400,593249,593257,614327,614335,614343,632619,755591,755605,874132,2320681,2498316,2483327,2350114,2424770,2350106,2350092,2455323,2455331,2470365,2492504,2462877,2462850,2462869,2460521,2460548,2472961,2472988,2245913,2480018,2402475,2282097,2419483,2495155,2241927,2473976,2457350,2473623,2413175,2324776,2413183,2324784,2417472,2459671,2487314,2478382,2478390,2480786,2423898,2470608"
